feature,importance
first_win_diff,0.4094645149639788
second_win_diff,0.23644188409816147
bp_saved_diff,0.1055545424661837
ace_rate_diff,0.06458758104245922
rank_diff,0.047797076456586714
first_in_diff,0.04164273893391383
df_rate_diff,0.036446861286759294
age_diff,0.028402390596455843
ht_diff,0.02111639117595029
surface_Hard,0.0035687498301342747
surface_Clay,0.0031812671215464628
surface_Grass,0.0017960020278701468
